ï»¿Unidade da FederaÃ§Ã£o,Ãrea,Sexo,Idade,Cor ou raÃ§a,VÃ­tima sofreu violÃªncia,Tipo de violÃªncia,Meio de violÃªncia,Local da violÃªncia,Autor da violÃªncia,Vitima buscou ajuda,Vitima recebeu atendimento,Vitima registrou ocorrÃªncia,Tipo de serviÃ§o de saÃºde procurado,Recebeu acompanhamento psicolÃ³gico,Recebeu atendimento social,Recebeu acompanhamento legal,FrequÃªncia da violÃªncia,Tipo de violÃªncia sofrida,Meio utilizado na violÃªncia,Local da agressÃ£o,Parentesco com agressor,Vitima denunciou,Agressor foi responsabilizado,Recebeu orientaÃ§Ã£o legal,Local de atendimento mÃ©dico,Recebeu atendimento mÃ©dico imediato,Recebeu atendimento posterior
Mato Grosso,Urbano,Feminino,27,Branca,Sim,Psicolã³Gica,"Com Arma De Fogo (Revã³Lver, Escopeta, Pistola)",Trabalho,"Bandido, Ladrã£O Ou Assaltante",Sim,Nã£O,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel
Mato Grosso,Urbano,Feminino,45,Parda,Sim,Psicolã³Gica,"Com Arma De Fogo (Revã³Lver, Escopeta, Pistola)",Via Pãºblica,"Bandido, Ladrã£O Ou Assaltante",Sim,Sim,Sim,Unidade Bã¡Sica De Saãºde,Nã£O,Nã£O,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel
Mato Grosso,Urbano,Feminino,27,Parda,Sim,Fã­Sica,"Com Arma De Fogo (Revã³Lver, Escopeta, Pistola)",Via Pãºblica,"Bandido, Ladrã£O Ou Assaltante",Sim,Sim,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel
Mato Grosso,Urbano,Feminino,35,Parda,Sim,Psicolã³Gica,"Com Arma De Fogo (Revã³Lver, Escopeta, Pistola)",Via Pãºblica,"Bandido, Ladrã£O Ou Assaltante",Sim,Nã£O,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel
Mato Grosso,Urbano,Feminino,34,Branca,Sim,Psicolã³Gica,"Com Arma De Fogo (Revã³Lver, Escopeta, Pistola)",Trabalho,"Bandido, Ladrã£O Ou Assaltante",Nã£O,Nã£O,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel
Mato Grosso,Urbano,Feminino,74,Parda,Sim,Psicolã³Gica,"Com Arma De Fogo (Revã³Lver, Escopeta, Pistola)",Residãªncia,"Bandido, Ladrã£O Ou Assaltante",Nã£O,Nã£O,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel
Mato Grosso,Urbano,Feminino,27,Branca,Sim,Psicolã³Gica,"Com Arma De Fogo (Revã³Lver, Escopeta, Pistola)",Outro,"Bandido, Ladrã£O Ou Assaltante",Nã£O,Nã£O,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel
Mato Grosso,Urbano,Feminino,48,Branca,Sim,Psicolã³Gica,"Com Objeto Pã©Rfuro-Cortante (Faca, Navalha, Punhal, Tesoura)",Bar Ou Similar,"Bandido, Ladrã£O Ou Assaltante",Sim,Sim,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel
Mato Grosso,Urbano,Feminino,60,Branca,Sim,Psicolã³Gica,Outro,Residãªncia,"Bandido, Ladrã£O Ou Assaltante",Nã£O,Nã£O,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel
Mato Grosso,Urbano,Feminino,60,Parda,Sim,Psicolã³Gica,"Por Meio De Palavras Ofensivas, Xingamentos Ou Palavrãµes",Banco/Caixa Eletrã´Nico/Lotã©Rica,"Bandido, Ladrã£O Ou Assaltante",Sim,Nã£O,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel
Mato Grosso,Urbano,Feminino,67,Branca,Sim,Psicolã³Gica,"Por Meio De Palavras Ofensivas, Xingamentos Ou Palavrãµes",Via Pãºblica,"Bandido, Ladrã£O Ou Assaltante",Nã£O,Nã£O,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel
Mato Grosso,Urbano,Feminino,58,Parda,Sim,Fã­Sica,"Com Forã§A Corporal, Espancamento (Tapa, Murro, Empurrã£O)",Via Pãºblica,"Bandido, Ladrã£O Ou Assaltante",Nã£O,Sim,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel
Mato Grosso,Urbano,Feminino,68,Parda,Sim,Psicolã³Gica,"Por Meio De Palavras Ofensivas, Xingamentos Ou Palavrãµes",Residãªncia,"Bandido, Ladrã£O Ou Assaltante",Nã£O,Nã£O,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel
Mato Grosso,Urbano,Feminino,19,Branca,Sim,Fã­Sica,"Com Forã§A Corporal, Espancamento (Tapa, Murro, Empurrã£O)",Via Pãºblica,Agente Legal Pãºblico,Sim,Sim,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Sim,Quase Diariamente,Psicolã³Gica,Por Meio De Palavras Ofensivas,Residãªncia,Cã´Njuge/Companheiro(A)/Namorado(A),Nã£O,Nã£O,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel
Mato Grosso,Urbano,Feminino,56,Parda,Sim,Psicolã³Gica,"Por Meio De Palavras Ofensivas, Xingamentos Ou Palavrãµes",Residãªncia,"Bandido, Ladrã£O Ou Assaltante",Nã£O,Nã£O,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel
Mato Grosso,Urbano,Feminino,74,Branca,Sim,Psicolã³Gica,"Com Objeto Pã©Rfuro-Cortante (Faca, Navalha, Punhal, Tesoura)",Via Pãºblica,"Bandido, Ladrã£O Ou Assaltante",Nã£O,Nã£O,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel,Nã£O Aplicã¡Vel
